Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
1053 DWIGHT WAY,(~) MISC - Exempt-Misc since 6/24/2010,n/a,n/a,"Garbage, Parking, Water",n/a
1055 DWIGHT WAY,(~) MISC - Exempt-Misc since 12/1/2009,n/a,n/a,"Garbage, Laundry Access, Parking, Water",n/a
1057 DWIGHT WAY,(~) MISC - Exempt-Misc since 6/17/2011,n/a,n/a,"Appliances, Garbage, Water",n/a
2502 10TH ST,RENTED - Rented or Available,8/1/15,"$2,100.00","Garbage, Laundry Access, Storage",# Bed: 2# Occ: 2
2504 10TH ST,RENTED - Rented or Available,9/1/16,"$1,800.00","Garbage, Storage",# Bed: 1# Occ: 3
2506 10TH ST,(~) MISC - Exempt-Misc since 4/17/1984,n/a,n/a,(no active services),n/a
2508 10TH ST,"CHSFD - Single family, C-H exempt since 9/1/1996",n/a,n/a,"Garbage, Parking",n/a
2509 10TH ST,RENTED - Rented or Available,8/1/14,"$2,689.75","Laundry Access, Parking",# Bed: 1# Occ: 2
2511 10TH ST,RENTED - Rented or Available,1/1/04,"$1,427.08",Garbage,# Bed: 2# Occ: 2
2515 10TH ST,RENTED - Rented or Available,10/1/99,$931.74,Garbage,# Bed: 1# Occ: 2
2517 10TH ST,RENTED - Rented or Available,3/1/12,"$1,579.35","Garbage, Laundry Access, Parking",# Bed: 2# Occ: 3
2519 10TH ST,RENTED - Rented or Available,2/8/16,"$2,500.00","Garbage, Laundry Access, Parking",# Bed: 2# Occ: 2
2521 10TH ST,(~) MISC - Exempt-Misc since 8/1/2010,n/a,n/a,Garbage,n/a
2510 10TH ST,OOCC - Owner Occupied since 7/13/1990,n/a,n/a,(no active services),n/a
2512 10TH ST,OOCC - Owner Occupied since 7/13/1990,n/a,n/a,(no active services),n/a
2514 10TH ST #1,OOCC - Owner Occupied since 12/1/2010,n/a,n/a,(no active services),n/a
2514 10TH ST #2,OOCC - Owner Occupied since 12/1/2010,n/a,n/a,(no active services),n/a
2520 10TH ST,RENTED - Rented or Available,7/10/13,"$1,811.78",Garbage,# Bed: 2# Occ: 1
2522 10TH ST,RENTED - Rented or Available,8/1/10,"$1,903.89","Appliances, Garbage",# Bed: 2# Occ: 2
