Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
2523 10TH ST,RENTED - Rented or Available,2/1/04,"$1,189.21","Appliances, Garbage",# Bed: 1# Occ: 1
2525 10TH ST,RENTED - Rented or Available,9/1/13,"$1,035.30","Appliances, Garbage, Heat",# Bed: 1# Occ: 1
2814 10TH ST,"CHSFD - Single family, C-H exempt since 1/1/2006",n/a,n/a,Laundry Access,n/a
2818 10TH ST #LOWER,RENTED - Rented or Available,12/1/08,"$1,672.40","Garbage, Other, Parking",# Bed: 2# Occ: 2
2818 10TH ST #UPPER,(~) MISC - Exempt-Misc since 6/26/2012,n/a,n/a,"Garbage, Parking",n/a
2824 10TH ST,RENTED - Rented or Available,7/1/01,"$1,387.62","Garbage, Parking",# Bed: 2# Occ: 4
2826 10TH ST,RENTED - Rented or Available,7/21/07,"$1,069.96",Garbage,# Bed: 1# Occ: 1
2222 3RD ST #1,COMM - Commercial since 7/1/2005,n/a,n/a,(no active services),n/a
2222 3RD ST #2,COMM - Commercial since 7/1/2005,n/a,n/a,(no active services),n/a
2222 3RD ST #3,COMM - Commercial since 7/1/2005,n/a,n/a,(no active services),n/a
2222 3RD ST #4,COMM - Commercial since 7/1/2005,n/a,n/a,(no active services),n/a
2123 4TH ST #A,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
2123 4TH ST #B,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
2125 4TH ST,NAR - Not Available for Rent since 1/1/1994,n/a,n/a,(no active services),n/a
1517 5TH ST,OOCC - Owner Occupied since 2/15/1996,n/a,n/a,Water,n/a
1824 5TH ST,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,(no active services),n/a
2117 5TH ST,"CHSFD - Single family, C-H exempt since 6/1/1997",n/a,n/a,"Garbage, Parking",n/a
2119 5TH ST,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,(no active services),n/a
2124 5TH ST,RENTED - Rented or Available,10/1/11,"$2,671.65","Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 2
2126 5TH ST,RENTED - Rented or Available,7/24/14,"$2,080.75","Appliances, Electricity, Garbage, Gas, Heat, Parking, Storage",# Bed: 2# Occ: 2
2128 5TH ST,RENTED - Rented or Available,1/10/12,"$1,632.00","Appliances, Electricity, Garbage, Gas, Heat, Parking, Storage",# Bed: 1# Occ: 1
2205 5TH ST,RENTED - Rented or Available,3/11/06,"$1,007.15",Garbage,# Bed: 1# Occ: 2
2207 5TH ST,RENTED - Rented or Available,7/7/14,"$1,618.93",Garbage,# Bed: 1# Occ: 2
2327 5TH ST,OOCC - Owner Occupied since 4/1/1995,n/a,n/a,"Garbage, Water",n/a
2410 5TH ST #1,RENTED - Rented or Available,2/1/06,"$1,035.93","Garbage, Water",# Bed: 1# Occ: 1
2410 5TH ST #2,RENTED - Rented or Available,11/1/15,"$1,500.00","Appliances, Garbage, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2410 5TH ST #UPPER,OOCC - Owner Occupied,12/31/95,n/a,(no active services),n/a
2416 5TH ST,NAR - Not Available for Rent since 9/1/2005,n/a,n/a,"Garbage, Parking",n/a
2416 5TH ST #A,RENTED - Rented or Available,11/1/13,"$1,335.00",(no active services),# Bed: 1# Occ: 4
2416 5TH ST #B,(~) MISC - Exempt-Misc since 4/1/2009,n/a,n/a,"Garbage, Parking",n/a
2422 5TH ST #A,OOCC - Owner Occupied since 12/20/2013,n/a,n/a,"Appliances, Garbage, Laundry Access, Parking, Storage, Water",n/a
2422 5TH ST #B,DUPLEX - Owner Occ duplex since 10/1/2008,n/a,n/a,(no active services),n/a
1606 62ND ST,(~) MISC - Exempt-Misc since 6/1/2007,n/a,n/a,(no active services),n/a
1608 62ND ST #A,RENTED - Rented or Available,4/1/11,"$1,070.80",Garbage,# Bed: 2# Occ: 2
1608 62ND ST #B,(~) MISC - Exempt-Misc since 4/1/2011,n/a,n/a,Garbage,n/a
1608 62ND ST #C,RENTED - Rented or Available,2/1/07,"$1,035.93",Garbage,# Bed: 2# Occ: 1
1608 62ND ST #D,RENTED - Rented or Available,5/30/15,"$1,050.00",Garbage,# Bed: 2# Occ: 1
1610 62ND ST #1,NAR - Not Available for Rent since 7/31/2013,n/a,n/a,(no active services),n/a
1610 62ND ST #2,NAR - Not Available for Rent since 7/31/2013,n/a,n/a,"Appliances, Laundry Access, Parking",n/a
1610 62ND ST #3,NAR - Not Available for Rent since 7/31/2013,n/a,n/a,(no active services),n/a
1610 62ND ST #4,NAR - Not Available for Rent since 7/31/2013,n/a,n/a,"Appliances, Parking",n/a
1612 62ND ST #5,RENTED - Rented or Available,10/9/14,"$2,791.25","Appliances, Garbage, Water",# Bed: 3# Occ: 3
1612 62ND ST #6,RENTED - Rented or Available,8/1/14,"$2,836.93","Garbage, Water",# Bed: 2# Occ: 3
1611 62ND ST #A,RENTED - Rented or Available,5/31/80,$960.79,"Garbage, Water",# Bed: 2# Occ: 0
1611 62ND ST #B,RENTED - Rented or Available,5/31/80,$960.79,"Garbage, Water",# Bed: 2# Occ: 0
1611 62ND ST #C,RENTED - Rented or Available since 9/17/1990,n/a,"$1,018.61","Garbage, Parking, Storage, Water",# Bed: 2
1611 62ND ST #D,RENTED - Rented or Available since 9/17/1990,n/a,"$1,018.61","Garbage, Parking, Storage, Water",# Bed: 2
1613 62ND ST #A,RENTED - Rented or Available,5/31/80,$750.03,"Garbage, Parking, Water",# Bed: 1# Occ: 0
1613 62ND ST #B,RENTED - Rented or Available,6/15/14,"$1,015.00","Garbage, Parking",# Bed: 1# Occ: 1
1613 62ND ST #C,RENTED - Rented or Available,4/1/10,$979.14,"Laundry Access, Parking",# Bed: 1# Occ: 1
1613 62ND ST #D,RENTED - Rented or Available,5/31/80,$726.11,"Garbage, Other, Parking, Water",# Bed: 1# Occ: 0
1614 62ND ST #1,(~) MISC - Exempt-Misc since 12/24/2003,n/a,n/a,"Appliances, Garbage, Laundry Access, Parking",n/a
1614 62ND ST #2,(~) MISC - Exempt-Misc since 2/1/1997,n/a,n/a,"Garbage, Laundry Access, Parking, Storage",n/a
1614 62ND ST #3,(~) MISC - Exempt-Misc since 12/10/2003,n/a,n/a,"Garbage, Laundry Access, Parking, Storage",n/a
1614 62ND ST #4,(~) MISC - Exempt-Misc since 4/2/1999,n/a,n/a,"Garbage, Laundry Access, Parking, Storage",n/a
1614 62ND ST #5,(~) MISC - Exempt-Misc since 6/7/2004,n/a,n/a,"Appliances, Garbage, Laundry Access, Parking",n/a
1614 62ND ST #6,(~) MISC - Exempt-Misc since 4/15/2003,n/a,n/a,"Appliances, Garbage, Heat, Laundry Access, Parking",n/a
1623 62ND ST,(~) MISC - Exempt-Misc since 1/7/1992,n/a,n/a,(no active services),n/a
1625 62ND ST,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,"Garbage, Laundry Access, Parking, Storage",n/a
1626 62ND ST,"CHSFD - Single family, C-H exempt since 3/19/2003",n/a,n/a,(no active services),n/a
1630 62ND ST #1,RENTED - Rented or Available,8/1/14,"$2,334.50","Appliances, Garbage, Parking, Water",# Bed: 0# Occ: 4
1630 62ND ST #2,RENTED - Rented or Available,1/2/98,$859.32,"Appliances, Garbage, Parking, Sewer, Water",# Bed: 2# Occ: 0
1630 62ND ST #3,(~) MISC - Exempt-Misc since 4/11/2007,n/a,n/a,"Appliances, Garbage, Parking, Sewer, Water",n/a
1630 62ND ST #4,RENTED - Rented or Available,8/1/14,"$1,268.75","Appliances, Garbage, Water",# Bed: 1# Occ: 1
1630 62ND ST #5,RENTED - Rented or Available since 5/1/2010,n/a,"$1,300.07","Appliances, Garbage, Gas, Parking, Water",# Bed: 2
1630 62ND ST #6,(~) MISC - Exempt-Misc since 7/1/2010,n/a,n/a,"Garbage, Water",n/a
1630 62ND ST #7,RENTED - Rented or Available,5/31/80,$643.90,"Appliances, Garbage, Parking, Sewer, Water",# Bed: 1# Occ: 0
1638 62ND ST,OOCC - Owner Occupied since 1/1/2011,n/a,n/a,(no active services),n/a
1638 62ND ST #A,(~) MISC - Exempt-Misc since 5/1/2015,n/a,n/a,"Garbage, Laundry Access, Water",n/a
1638 62ND ST #B,(~) MISC - Exempt-Misc since 12/1/2009,n/a,n/a,"Garbage, Water",n/a
1638 62ND ST #C,(~) MISC - Exempt-Misc since 6/1/2009,n/a,n/a,"Garbage, Laundry Access, Water",n/a
1637 62ND ST,RENTED - Rented or Available,2/1/13,"$1,061.18","Appliances, Garbage, Laundry Access, Other, Water",# Bed: 1# Occ: 2
1639 62ND ST,OOCC - Owner Occupied since 2/1/2005,n/a,n/a,"Garbage, Water",n/a
1641 62ND ST,RENTED - Rented or Available,1/1/12,"$1,026.58","Appliances, Garbage, Laundry Access, Other, Water",# Bed: 1# Occ: 1
1643 62ND ST #1,RENTED - Rented or Available,5/15/14,"$1,421.00","Appliances, Garbage, Parking, Water",# Bed: 2# Occ: 1
1643 62ND ST #2,RENTED - Rented or Available,10/1/14,"$1,421.00","Appliances, Garbage, Parking, Water",# Bed: 2# Occ: 1
1643 62ND ST #3,RENTED - Rented or Available,10/30/12,"$1,263.48","Appliances, Garbage, Parking, Sewer, Water",# Bed: 2# Occ: 1
1645 62ND ST #A,(~) MISC - Exempt-Misc since 5/10/2013,n/a,n/a,"Appliances, Garbage, Parking, Water",n/a
1645 62ND ST #B,(~) MISC - Exempt-Misc since 8/1/2007,n/a,n/a,Garbage,n/a
1645 62ND ST #C,(~) MISC - Exempt-Misc since 5/1/2010,n/a,n/a,"Garbage, Parking",n/a
1804 62ND ST #1,RENTED - Rented or Available,11/8/14,"$1,877.75","Appliances, Garbage, Water",# Bed: 0# Occ: 1
1804 62ND ST #2,(~) MISC - Exempt-Misc since 7/1/2008,n/a,n/a,"Garbage, Water",n/a
1804 62ND ST #3,RENTED - Rented or Available,11/1/14,"$1,725.50","Appliances, Garbage, Water",# Bed: 0# Occ: 1
1804 62ND ST #4,RENTED - Rented or Available,11/1/14,"$2,233.00","Appliances, Garbage, Water",# Bed: 0# Occ: 1
1804 62ND ST #5,RENTED - Rented or Available,6/1/12,"$1,105.55","Appliances, Garbage, Water",# Bed: 0# Occ: 1
1804 62ND ST #6,RENTED - Rented or Available,10/8/14,"$1,624.00","Appliances, Garbage, Water",# Bed: 0# Occ: 1
3351 MLK JR WAY,COMM - Commercial since 10/20/2010,n/a,n/a,"Garbage, Water",n/a
1806 62ND ST #1,RENTED - Rented or Available,6/20/11,$856.64,"Appliances, Garbage, Water",# Bed: 0# Occ: 1
1806 62ND ST #2,RENTED - Rented or Available,2/1/07,"$1,126.25","Appliances, Garbage, Storage, Water",# Bed: 1# Occ: 1
1806 62ND ST #3,RENTED - Rented or Available,8/1/10,"$1,060.74","Garbage, Water",# Bed: 1# Occ: 1
1806 62ND ST #4,RENTED - Rented or Available,2/15/11,$803.10,"Appliances, Garbage, Water",# Bed: 1# Occ: 1
1816 62ND ST,OOCC - Owner Occupied since 5/5/1991,n/a,n/a,(no active services),n/a
1824 62ND ST #A,(~) MISC - Exempt-Misc since 2/1/2005,n/a,n/a,"Garbage, Water",n/a
1824 62ND ST #B,RENTED - Rented or Available,3/2/13,"$1,376.43","Garbage, Water",# Bed: 2# Occ: 2
1824 62ND ST #C,RENTED - Rented or Available,5/31/80,$700.79,"Garbage, Water",# Bed: 2# Occ: 0
1537 63RD ST #A,(~) MISC - Exempt-Misc since 11/1/1999,n/a,n/a,"Garbage, Sewer, Water",n/a
1537 63RD ST #B,(~) MISC - Exempt-Misc since 12/28/2011,n/a,n/a,"Garbage, Parking, Water",n/a
1537 63RD ST #C,(~) MISC - Exempt-Misc since 2/22/2012,n/a,n/a,"Garbage, Sewer, Water",n/a
1538 63RD ST,NAR - Not Available for Rent since 3/3/2015,n/a,n/a,(no active services),n/a
1540 63RD ST #A,(~) MISC - Exempt-Misc since 11/1/2010,n/a,n/a,"Garbage, Parking",n/a
1540 63RD ST #B,RENTED - Rented or Available,6/15/15,"$2,450.00",Sewer,# Bed: 2# Occ: 1
1540 63RD ST #C,RENTED - Rented or Available since 4/3/1994,n/a,$644.47,"Garbage, Parking",# Bed: 1
1600 63RD ST #A,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
1600 63RD ST #B,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
1600 63RD ST #C,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,"Appliances, Electricity, Garbage, Gas, Heat, Water",n/a
3327 CALIFORNIA ST,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
3329 CALIFORNIA ST,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
3331 CALIFORNIA ST,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,Garbage,n/a
1609 63RD ST #1,RENTED - Rented or Available since 7/1/1998,n/a,"$1,031.14","Garbage, Water",# Bed: 1
1609 63RD ST #2,RENTED - Rented or Available,12/30/03,$809.97,"Garbage, Parking, Water",# Bed: 1# Occ: 1
1609 63RD ST #3,OOCC - Owner Occupied since 6/1/1998,n/a,n/a,"Garbage, Water",n/a
1611 63RD ST #1,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
1611 63RD ST #2,(~) MISC - Exempt-Misc since 11/4/2009,n/a,n/a,(no active services),n/a
1611 63RD ST #3,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
1611 63RD ST #4,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
1612 63RD ST #A,OOCC - Owner Occupied since 4/1/2007,n/a,n/a,"Garbage, Other, Parking, Storage",n/a
1612 63RD ST #B,(~) MISC - Exempt-Misc since 2/26/2005,n/a,n/a,"Garbage, Parking, Storage",n/a
1612 63RD ST #C,RENTED - Rented or Available,1/15/11,"$1,338.50","Appliances, Garbage, Parking",# Bed: 2# Occ: 2
1612 63RD ST #D,RENTED - Rented or Available,1/15/03,"$1,223.92","Appliances, Garbage, Laundry Access, Parking",# Bed: 3# Occ: 1
1614 63RD ST #A,RENTED - Rented or Available,6/1/04,"$1,546.00","Appliances, Garbage, Water",# Bed: 2# Occ: 4
1614 63RD ST #B,RENTED - Rented or Available,6/1/04,"$1,546.00","Garbage, Water",# Bed: 2# Occ: 4
1614 63RD ST #C,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
1614 63RD ST #D,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
1617 63RD ST,(~) MISC - Exempt-Misc since 1/6/1998,n/a,n/a,Garbage,n/a
1628 63RD ST,OOCC - Owner Occupied since 3/28/1995,n/a,n/a,Garbage,n/a
1634 63RD ST #1,(~) MISC - Exempt-Misc since 6/1/2014,n/a,n/a,"Garbage, Laundry Access",n/a
1634 63RD ST #2,OOCC - Owner Occupied since 2/25/2014,n/a,n/a,"Appliances, Garbage, Laundry Access, Parking",n/a
1634 63RD ST #3,RENTED - Rented or Available,6/1/99,$803.16,"Appliances, Laundry Access, Parking",# Bed: 3# Occ: 1
1634 63RD ST #4,RENTED - Rented or Available,10/1/14,"$2,537.50","Garbage, Heat, Laundry Access, Parking",# Bed: 3# Occ: 3
1635 63RD ST #A,NEW - New Construction since 5/1/2000,n/a,n/a,(no active services),n/a
1635 63RD ST #B,NEW - New Construction since 5/1/2000,n/a,n/a,(no active services),n/a
1637 63RD ST,OOCC - Owner Occupied since 8/29/2011,n/a,n/a,"Garbage, Sewer, Water",n/a
1636 63RD ST,RENTED - Rented or Available since 11/5/1999,n/a,$743.62,"Garbage, Water",# Bed: 2
1636 63RD ST #A,RENTED - Rented or Available since 11/11/2014,n/a,$637.69,"Garbage, Water",# Bed: 0
1636 63RD ST #1/2,RENTED - Rented or Available,6/12/02,"$1,679.89","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1704 63RD ST #E,RENTED - Rented or Available since 3/20/2015,n/a,$750.46,Garbage,# Bed: 2
1704 63RD ST #F,RENTED - Rented or Available since 3/21/2015,n/a,"$1,347.89","Appliances, Garbage, Laundry Access, Parking, Sewer",# Bed: 2
1704 63RD ST #G,RENTED - Rented or Available since 3/21/2015,n/a,$750.46,Garbage,# Bed: 2
1704 63RD ST #H,RENTED - Rented or Available since 3/21/2015,n/a,"$1,347.89","Appliances, Garbage, Parking",# Bed: 2
1705 63RD ST,NAR - Not Available for Rent since 12/31/2005,n/a,n/a,(no active services),n/a
1716 63RD ST #6,NAR - Not Available for Rent since 11/11/1988,n/a,n/a,(no active services),n/a
1719 63RD ST,NEW - New Construction since 7/1/1996,n/a,n/a,"Garbage, Water",n/a
1719 63RD ST #1/2,RENTED - Rented or Available,2/1/12,"$2,105.80","Garbage, Water",# Bed: 2# Occ: 3
1721 63RD ST,NEW - New Construction since 1/1/1993,n/a,n/a,(no active services),n/a
1721 63RD ST #1/2,RENTED - Rented or Available,7/1/11,"$1,606.20","Appliances, Garbage, Water",# Bed: 2# Occ: 3
1808 63RD ST,"CHSFD - Single family, C-H exempt since 1/1/2005",n/a,n/a,(no active services),n/a
1811 63RD ST #A,NAR - Not Available for Rent since 1/1/1994,n/a,n/a,(no active services),n/a
1811 63RD ST #B,NAR - Not Available for Rent since 1/1/1994,n/a,n/a,(no active services),n/a
1811 63RD ST #C,NAR - Not Available for Rent since 1/1/1994,n/a,n/a,(no active services),n/a
1813 63RD ST #A,RENTED - Rented or Available,8/20/13,"$1,496.01","Appliances, Garbage",# Bed: 2# Occ: 2
1813 63RD ST #B,RENTED - Rented or Available,5/30/15,"$1,995.00","Appliances, Laundry Access",# Bed: 2# Occ: 2
1813 63RD ST #C,RENTED - Rented or Available,8/13/14,"$1,821.93","Appliances, Garbage, Laundry Access",# Bed: 2# Occ: 2
1813 63RD ST #D,RENTED - Rented or Available,5/1/16,"$2,150.00","Laundry Access, Other",# Bed: 2# Occ: 4
1813 63RD ST #E,(~) MISC - Exempt-Misc since 9/1/2001,n/a,n/a,Garbage,n/a
1815 63RD ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
1817 63RD ST #1,(~) MISC - Exempt-Misc since 6/1/2009,n/a,n/a,"Appliances, Garbage, Parking, Water",n/a
1817 63RD ST #2,(~) MISC - Exempt-Misc since 6/1/2009,n/a,n/a,"Garbage, Water",n/a
1833 63RD ST,OOCC - Owner Occupied since 9/5/2009,n/a,n/a,(no active services),n/a
1833 63RD ST #1/2,DUPLEX - Owner Occ duplex since 9/5/2009,n/a,n/a,(no active services),n/a
1835 63RD ST,OOCC - Owner Occupied since 9/27/2013,n/a,n/a,Garbage,n/a
1835 63RD ST #B,RENTED - Rented or Available since 9/25/1998,n/a,$582.66,"Garbage, Water",# Bed: 1
1835 63RD ST #C,RENTED - Rented or Available,5/1/16,"$1,760.00","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
1840 63RD ST,RENTED - Rented or Available,12/17/14,"$2,791.25",Garbage,# Bed: 2# Occ: 2
1840 63RD ST #1/2,RENTED - Rented or Available,5/27/16,"$3,050.00",(no active services),# Bed: 2# Occ: 2
1842 63RD ST,RENTED - Rented or Available,9/10/16,"$2,891.18",Laundry Access,# Bed: 2# Occ: 2
1275 65TH ST,"CHSFD - Single family, C-H exempt since 1/9/2001",n/a,n/a,Garbage,n/a
1215 66TH ST,"CHSFD - Single family, C-H exempt since 2/28/2003",n/a,n/a,(no active services),n/a
1305 66TH ST,RENTED - Rented or Available,7/25/09,"$1,639.67","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 3
1305 66TH ST #1/2,RENTED - Rented or Available since 8/16/2011,n/a,$795.11,"Garbage, Water",# Bed: 1
1305 66TH ST #1/2-A,RENTED - Rented or Available since 8/10/2011,n/a,$889.31,"Garbage, Storage, Water",# Bed: 1
1329 66TH ST,NAR - Not Available for Rent since 11/7/2014,n/a,n/a,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",n/a
1329 66TH ST #A,NAR - Not Available for Rent since 11/7/2014,n/a,n/a,"Appliances, Garbage, Laundry Access, Water",n/a
1329 66TH ST #B,NAR - Not Available for Rent since 11/7/2014,n/a,n/a,"Garbage, Laundry Access, Water",n/a
1336 66TH ST,(~) MISC - Exempt-Misc since 11/15/2004,n/a,n/a,Garbage,n/a
1337 66TH ST,RENTED - Rented or Available since 6/1/1985,n/a,"$1,556.45",Garbage,# Bed: 3
1341 66TH ST,NEW - New Construction,12/14/98,n/a,(no active services),n/a
1341 66TH ST #1/2,OOCC - Owner Occupied since 9/1/2001,n/a,n/a,Garbage,n/a
1345 66TH ST #A,RENTED - Rented or Available,10/23/99,$828.35,"Appliances, Garbage, Water",# Bed: 2# Occ: 1
1345 66TH ST #B,RENTED - Rented or Available,2/7/16,"$2,200.00","Appliances, Garbage, Parking",# Bed: 2# Occ: 2
1345 66TH ST #C,(~) MISC - Exempt-Misc since 6/1/2010,n/a,n/a,(no active services),n/a
1412 66TH ST,RENTED - Rented or Available,2/7/14,"$3,400.25",(no active services),# Bed: 2# Occ: 2
1412 66TH ST #1/2,RENTED - Rented or Available,7/15/15,"$2,250.00","Appliances, Garbage, Water",# Bed: 1# Occ: 1
1413 66TH ST #A,(~) MISC - Exempt-Misc since 2/1/2010,n/a,n/a,"Garbage, Parking, Water",n/a
1413 66TH ST #B,(~) MISC - Exempt-Misc since 2/1/2003,n/a,n/a,"Laundry Access, Parking",n/a
1414 66TH ST #LOWER,NEW - New Construction since 4/2/2003,n/a,n/a,"Garbage, Parking, Water",n/a
1414 66TH ST #UPPER,OOCC - Owner Occupied since 6/1/1988,n/a,n/a,(no active services),n/a
1422 66TH ST,"CHSFD - Single family, C-H exempt since 7/1/1999",n/a,n/a,"Garbage, Parking, Storage",n/a
1438 66TH ST,OOCC - Owner Occupied since 7/1/1994,n/a,n/a,(no active services),n/a
1301 67TH ST #A,OOCC - Owner Occupied since 1/15/1999,n/a,n/a,"Furnishings, Garbage, Gas, Parking, Water",n/a
1301 67TH ST #B,NAR - Not Available for Rent since 11/30/2003,n/a,n/a,"Appliances, Garbage, Parking, Water",n/a
1301 67TH ST #C,NAR - Not Available for Rent since 4/5/2004,n/a,n/a,"Furnishings, Garbage, Gas, Parking, Water",n/a
1311 67TH ST,OOCC - Owner Occupied since 7/1/2005,n/a,n/a,(no active services),n/a
1323 67TH ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,Garbage,n/a
1327 67TH ST,"CHSFD - Single family, C-H exempt since 1/1/1999",n/a,n/a,Garbage,n/a
1404 67TH ST #A,(~) MISC - Exempt-Misc since 1/1/1999,n/a,n/a,(no active services),n/a
1404 67TH ST #B,NAR - Not Available for Rent since 1/1/1998,n/a,n/a,"Garbage, Water",n/a
1404 67TH ST #C,NAR - Not Available for Rent since 1/1/1995,n/a,n/a,"Garbage, Water",n/a
1408 67TH ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Parking, Storage, Water",n/a
1410 67TH ST,NAR - Not Available for Rent since 12/1/2004,n/a,n/a,"Garbage, Parking, Storage, Water",n/a
1415 67TH ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
1423 67TH ST,(~) MISC - Exempt-Misc since 6/30/1994,n/a,n/a,(no active services),n/a
1424 67TH ST,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,Garbage,n/a
1428 67TH ST,OOCC - Owner Occupied since 9/1/2009,n/a,n/a,Garbage,n/a
1428 67TH ST #A,(~) MISC - Exempt-Misc since 3/1/2012,n/a,n/a,"Electricity, Garbage, Gas, Storage, Water",n/a
1428 67TH ST #B,(~) MISC - Exempt-Misc since 11/1/2011,n/a,n/a,"Electricity, Garbage, Gas, Heat, Storage, Water",n/a
1430 67TH ST,"CHSFD - Single family, C-H exempt since 7/1/1999",n/a,n/a,"Garbage, Laundry Access, Parking, Storage",n/a
1431 67TH ST,RENTED - Rented or Available,8/1/14,"$3,298.75","Appliances, Garbage, Laundry Access",# Bed: 5# Occ: 5
1431 67TH ST #B,RENTED - Rented or Available,8/1/13,"$3,298.75","Appliances, Garbage, Laundry Access",# Bed: 5# Occ: 5
1480 PRINCE ST,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,"Appliances, Garbage, Parking",n/a
1482 PRINCE ST,RENTED - Rented or Available,7/15/14,"$2,436.00","Garbage, Parking",# Bed: 2# Occ: 4
1439 67TH ST,OOCC - Owner Occupied since 5/20/2011,n/a,n/a,(no active services),n/a
1490 PRINCE ST,RENTED - Rented or Available,1/15/15,"$1,800.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 2
1490 PRINCE ST #1/2,(~) MISC - Exempt-Misc since 5/20/2011,n/a,n/a,"Garbage, Parking, Storage, Water",n/a
1330 6TH ST #LOWER,OOCC - Owner Occupied since 7/1/2013,n/a,n/a,"Appliances, Garbage, Garbage, Parking, Storage",n/a
1330 6TH ST #UPPER,NAR - Not Available for Rent since 7/1/2013,n/a,n/a,"Appliances, Garbage, Laundry Access, Parking, Storage, Water",n/a
1336 6TH ST,(~) MISC - Exempt-Misc since 12/5/1990,n/a,n/a,(no active services),n/a
1341 6TH ST,NAR - Not Available for Rent since 6/3/1994,n/a,n/a,(no active services),n/a
1345 6TH ST,NAR - Not Available for Rent since 6/3/1994,n/a,n/a,(no active services),n/a
1404 6TH ST #B,RENTED - Rented or Available,5/31/80,$630.68,"Garbage, Water",# Bed: 2# Occ: 0
